,Entry.name,Gene.names,Gene.names...primary..,Gene.names...synonym..,Gene.names...ordered.locus..,Gene.names...ORF..,Organism,Organism.ID,Protein.names,Proteomes,Taxonomic.lineage..ALL.,Virus.hosts
A0A3P7EJD6,A0A3P7EJD6_SCHSO,SSLN_LOCUS12019,NA,NA,NA,SSLN_LOCUS12019,Schistocephalus solidus (Tapeworm),70667,Uncharacterized protein,UP000275846: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Spiralia, Lophotrochozoa, Platyhelminthes, Cestoda, Eucestoda, Diphyllobothriidea, Diphyllobothriidae, Schistocephalus, Schistocephalus solidus (Tapeworm)",NA
J9K2Z4,J9K2Z4_ACYPI,NA,NA,NA,NA,NA,Acyrthosiphon pisum (Pea aphid),7029,Uncharacterized protein,UP000007819: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Paraneoptera, Hemiptera, Sternorrhyncha, Aphidomorpha (aphids), Aphidoidea, Aphididae (aphids), Aphidinae, Macrosiphini, Acyrthosiphon, Acyrthosiphon pisum (Pea aphid)",NA
A0A2J7Q8V4,A0A2J7Q8V4_9NEOP,AGO2_1 B7P43_G07956,AGO2_1,NA,NA,B7P43_G07956,Cryptotermes secundus,105785,Protein argonaute-2,UP000235965: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Polyneoptera, Dictyoptera, Blattodea (cockroaches), Blattoidea, Termitoidae (termites), Kalotermitidae (powder-post termites), Cryptotermitinae, Cryptotermes, Cryptotermes secundus",NA
T1IBM6,T1IBM6_RHOPR,NA,NA,NA,NA,NA,Rhodnius prolixus (Triatomid bug),13249,Uncharacterized protein (Fragment),UP000015103: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Paraneoptera, Hemiptera, Prosorrhyncha (bugs), Heteroptera (true bugs), Euheteroptera, Neoheteroptera, Panheteroptera, Cimicomorpha, Reduvioidea, Reduviidae (assassin bugs), Triatominae (kissing bugs), Rhodnius, Rhodnius prolixus (Triatomid bug)",NA
V3ZRX0,V3ZRX0_LOTGI,LOTGIDRAFT_235802,NA,NA,NA,LOTGIDRAFT_235802,Lottia gigantea (Giant owl limpet),225164,Uncharacterized protein,UP000030746: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Spiralia, Lophotrochozoa, Mollusca, Gastropoda, Patellogastropoda, Lottioidea, Lottiidae, Lottia, Lottia gigantea (Giant owl limpet)",NA
A0A210QKF7,A0A210QKF7_MIZYE,KP79_PYT24017,NA,NA,NA,KP79_PYT24017,Mizuhopecten yessoensis (Japanese scallop) (Patinopecten yessoensis),6573,Protein argonaute-2,UP000242188: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Spiralia, Lophotrochozoa, Mollusca, Bivalvia, Autobranchia, Pteriomorphia, Pectinida, Pectinoidea, Pectinidae (scallops), Mizuhopecten, Mizuhopecten yessoensis (Japanese scallop) (Patinopecten yessoensis)",NA
A0A423TSS1,A0A423TSS1_PENVA,C7M84_001767,NA,NA,NA,C7M84_001767,Penaeus vannamei (Whiteleg shrimp) (Litopenaeus vannamei),6689,Argonaute 1 isoform C,UP000283509: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Crustacea, Multicrustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Dendrobranchiata, Penaeoidea, Penaeidae (penaeid shrimps), Penaeus, Penaeus vannamei (Whiteleg shrimp) (Litopenaeus vannamei)",NA
K1PT78,K1PT78_CRAGI,CGI_10008155,NA,NA,NA,CGI_10008155,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),29159,Protein argonaute-2,UP000005408: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Spiralia, Lophotrochozoa, Mollusca, Bivalvia, Autobranchia, Pteriomorphia, Ostreida, Ostreoidea, Ostreidae (oysters), Crassostrea, Crassostrea gigas (Pacific oyster) (Crassostrea angulata)",NA
A0A267E8R7,A0A267E8R7_9PLAT,BOX15_Mlig003798g1,NA,NA,NA,BOX15_Mlig003798g1,Macrostomum lignano,282301,Uncharacterized protein,UP000215902: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Spiralia, Lophotrochozoa, Platyhelminthes, Rhabditophora, Macrostomorpha, Macrostomida, Macrostomidae, Macrostomum, Macrostomum lignano",NA
A0A1D2N447,A0A1D2N447_ORCCI,Ocin01_06678,NA,NA,NA,Ocin01_06678,Orchesella cincta (Springtail),48709,Protein argonaute-2,UP000094527: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Collembola (springtails), Entomobryomorpha, Entomobryoidea, Orchesellidae, Orchesellinae, Orchesella, Orchesella cincta (Springtail)",NA
A0A226D7A9,A0A226D7A9_FOLCA,Fcan01_24676,NA,NA,NA,Fcan01_24676,Folsomia candida (Springtail),158441,Protein argonaute-2,UP000198287: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Collembola (springtails), Entomobryomorpha, Isotomoidea, Isotomidae (smooth springtails), Proisotominae, Folsomia, Folsomia candida (Springtail)",NA
F6YK55,F6YK55_CIOIN,NA,NA,NA,NA,NA,Ciona intestinalis (Transparent sea squirt) (Ascidia intestinalis),7719,Uncharacterized protein,UP000008144: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Tunicata, Ascidiacea, Phlebobranchia, Cionidae, Ciona, Ciona intestinalis (Transparent sea squirt) (Ascidia intestinalis)",NA
T1KTE4,T1KTE4_TETUR,107366917,107366917,NA,NA,NA,Tetranychus urticae (Two-spotted spider mite),32264,Uncharacterized protein,UP000015104: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Chelicerata, Arachnida, Acari, Acariformes, Trombidiformes, Prostigmata, Eleutherengona, Raphignathae, Tetranychoidea, Tetranychidae (spider mites), Tetranychus, Tetranychus urticae (Two-spotted spider mite)",NA
A0A2C9JGZ6,A0A2C9JGZ6_BIOGL,106056319,106056319,NA,NA,NA,Biomphalaria glabrata (Bloodfluke planorb) (Freshwater snail),6526,Uncharacterized protein,UP000076420: Unplaced,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Spiralia, Lophotrochozoa, Mollusca, Gastropoda, Heterobranchia, Euthyneura, Panpulmonata, Hygrophila, Lymnaeoidea, Planorbidae, Biomphalaria, Biomphalaria glabrata (Bloodfluke planorb) (Freshwater snail)",NA
A0A1V9X9F0,A0A1V9X9F0_9ACAR,BIW11_11819,NA,NA,NA,BIW11_11819,Tropilaelaps mercedesae,418985,Protein argonaute-2-like,UP000192247: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Chelicerata, Arachnida, Acari, Parasitiformes, Mesostigmata, Monogynaspida, Gamasina, Dermanyssoidea, Laelapidae, Tropilaelaps, Tropilaelaps mercedesae",NA
K5X5Z7,K5X5Z7_AGABU,AGABI1DRAFT_114679,NA,NA,NA,AGABI1DRAFT_114679,Agaricus bisporus var. burnettii (strain JB137-S8 / ATCC MYA-4627 / FGSC 10392) (White button mushroom),597362,Uncharacterized protein,UP000008493: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetidae, Agaricales, Agaricaceae, Agaricus, Agaricus bisporus (White button mushroom), Agaricus bisporus var. burnettii, Agaricus bisporus var. burnettii (strain JB137-S8 / ATCC MYA-4627 / FGSC 10392) (White button mushroom)",NA
A0A3Q0KUG5,A0A3Q0KUG5_SCHMA,NA,NA,NA,NA,NA,Schistosoma mansoni (Blood fluke),6183,Putative eukaryotic translation initiation factor 2c,UP000008854: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Spiralia, Lophotrochozoa, Platyhelminthes, Trematoda, Digenea (flukes), Strigeidida, Schistosomatoidea, Schistosomatidae (blood flukes), Schistosoma, Schistosoma mansoni (Blood fluke)",NA
T1FY40,T1FY40_HELRO,20213738 HELRODRAFT_65165,20213738,NA,NA,HELRODRAFT_65165,Helobdella robusta (Californian leech),6412,Uncharacterized protein,UP000015101: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Spiralia, Lophotrochozoa, Annelida, Clitellata, Hirudinea (leeches), Rhynchobdellida, Glossiphoniidae, Helobdella, Helobdella robusta (Californian leech)",NA
WP_045143632.1,NA,NA,NA,NA,NA,NA,Clostridium butyricum,1492,hypothetical protein,NA,"cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Clostridiaceae, Clostridium, Clostridium butyricum",NA
Q9XGW1,AGO10_ARATH,NA,AGO10,NA,At5g43810,NA,Arabidopsis thaliana (Mouse-ear cress),3702,Protein argonaute 10,UP000006548: Chromosome 1,"cellular organisms, Eukaryota, Viridiplantae, Streptophyta, Streptophytina, Embryophyta, Tracheophyta, Euphyllophyta, Spermatophyta, Magnoliopsida, Mesangiospermae, eudicotyledons, Gunneridae, Pentapetalae, rosids, malvids, Brassicales, Brassicaceae, Camelineae, Arabidopsis, Arabidopsis thaliana (Mouse-ear cress)",NA
